time[s],Xcg[m],Xcp[m]
0,1.9586,NaN
0.001,1.9586,NaN
0.002,1.9586,NaN
0.003,1.9586,NaN
0.004,1.9586,NaN
0.005,1.9585,NaN
0.006,1.9585,NaN
0.007,1.9585,NaN
0.008,1.9585,NaN
0.009,1.9585,NaN
0.01,1.9585,NaN
0.011,1.9584,NaN
0.012,1.9584,NaN
0.013,1.9584,NaN
0.014,1.9584,NaN
0.015,1.9584,NaN
0.016,1.9584,NaN
0.017,1.9583,NaN
0.018,1.9583,NaN
0.019,1.9583,NaN
0.02,1.9583,NaN
0.021,1.9583,NaN
0.022,1.9583,NaN
0.023,1.9583,NaN
0.024,1.9582,NaN
0.025,1.9582,NaN
0.026,1.9582,NaN
0.027,1.9582,NaN
0.028,1.9582,NaN
0.029,1.9582,NaN
0.03,1.9581,NaN
0.031,1.9581,NaN
0.032,1.9581,NaN
0.033,1.9581,NaN
0.034,1.9581,NaN
0.035,1.9581,NaN
0.036,1.958,NaN
0.037,1.958,NaN
0.038,1.958,NaN
0.039,1.958,NaN
0.04,1.958,NaN
0.041,1.958,NaN
0.042,1.9579,NaN
0.043,1.9579,NaN
0.044,1.9579,NaN
0.045,1.9579,NaN
0.046,1.9579,NaN
0.047,1.9579,NaN
0.048,1.9579,NaN
0.049,1.9578,NaN
0.05,1.9578,NaN
0.051,1.9578,NaN
0.052,1.9578,NaN
0.053,1.9578,NaN
0.054,1.9578,NaN
0.055,1.9577,NaN
0.056,1.9577,NaN
0.057,1.9577,NaN
0.058,1.9577,NaN
0.059,1.9577,NaN
0.06,1.9577,NaN
0.061,1.9576,NaN
0.062,1.9576,NaN
0.063,1.9576,NaN
0.064,1.9576,NaN
0.065,1.9576,NaN
0.066,1.9576,NaN
0.067,1.9576,NaN
0.068,1.9575,NaN
0.069,1.9575,NaN
0.07,1.9575,NaN
0.071,1.9575,NaN
0.072,1.9575,NaN
0.073,1.9575,NaN
0.074,1.9574,NaN
0.075,1.9574,NaN
0.076,1.9574,NaN
0.077,1.9574,NaN
0.078,1.9574,NaN
0.079,1.9574,NaN
0.08,1.9573,NaN
0.081,1.9573,NaN
0.082,1.9573,NaN
0.083,1.9573,NaN
0.084,1.9573,NaN
0.085,1.9573,NaN
0.086,1.9572,NaN
0.087,1.9572,NaN
0.088,1.9572,NaN
0.089,1.9572,NaN
0.09,1.9572,NaN
0.091,1.9572,NaN
0.092,1.9572,NaN
0.093,1.9571,NaN
0.094,1.9571,NaN
0.095,1.9571,NaN
0.096,1.9571,NaN
0.097,1.9571,NaN
0.098,1.9571,NaN
0.099,1.957,NaN
0.1,1.957,NaN
0.101,1.957,NaN
0.102,1.957,NaN
0.103,1.957,NaN
0.104,1.957,NaN
0.105,1.9569,NaN
0.106,1.9569,NaN
0.107,1.9569,NaN
0.108,1.9569,NaN
0.109,1.9569,NaN
0.11,1.9569,NaN
0.111,1.9568,NaN
0.112,1.9568,NaN
0.113,1.9568,NaN
0.114,1.9568,NaN
0.115,1.9568,NaN
0.116,1.9568,NaN
0.117,1.9568,NaN
0.118,1.9567,NaN
0.119,1.9567,NaN
0.12,1.9567,NaN
0.121,1.9567,NaN
0.122,1.9566,NaN
0.123,1.9566,NaN
0.124,1.9566,NaN
0.125,1.9565,NaN
0.126,1.9565,NaN
0.127,1.9565,NaN
0.128,1.9565,NaN
0.129,1.9564,NaN
0.13,1.9564,NaN
0.131,1.9564,NaN
0.132,1.9563,NaN
0.133,1.9563,NaN
0.134,1.9563,NaN
0.135,1.9562,NaN
0.136,1.9562,NaN
0.137,1.9562,NaN
0.138,1.9561,NaN
0.139,1.9561,NaN
0.14,1.9561,NaN
0.141,1.956,NaN
0.142,1.956,NaN
0.143,1.956,NaN
0.144,1.956,NaN
0.145,1.9559,NaN
0.146,1.9559,NaN
0.147,1.9559,NaN
0.148,1.9558,NaN
0.149,1.9558,NaN
0.15,1.9558,NaN
0.151,1.9557,NaN
0.152,1.9557,NaN
