time[s],positionX_E[m],positionY_E[m], positionZ_E[m], velocityX_E[m/s], velocityY_E[m/s], velocityZ_E[m/s], apparentVelocity[m/s], accelerationX_E[m/s^2], accelerationY_E[m/s^2], accelerationZ_E[m/s^2], mach[dimless]
0,0,0,1.4015,0,0,0,0,0,0,0,0
0.001,4.4044e-08,0,1.4015,0.00013213,0,0.00049313,0.58495,0.26427,0,-8.8337,0.0017184
0.002,3.5236e-07,0,1.4015,0.00052854,0,-0.0078475,0.5854,0.52855,0,-7.8473,0.0017197
0.003,1.1892e-06,0,1.4015,0.0011892,0,-0.015202,0.5862,0.79285,0,-6.861,0.0017221
0.004,2.819e-06,0,1.4015,0.0021143,0,-0.02157,0.58733,1.0572,0,-5.8745,0.0017254
0.005,5.5058e-06,0,1.4014,0.0033036,0,-0.026951,0.58873,1.3215,0,-4.888,0.0017295
0.006,9.5142e-06,0,1.4014,0.0047572,0,-0.031346,0.5904,1.5858,0,-3.9015,0.0017344
0.007,1.5108e-05,0,1.4014,0.0064753,0,-0.034754,0.5923,1.8502,0,-2.9149,0.00174
0.008,2.2553e-05,0,1.4013,0.0084577,0,-0.037176,0.59442,2.1146,0,-1.9282,0.0017462
0.009,3.2112e-05,0,1.4013,0.010704,0,-0.038611,0.59675,2.379,0,-0.94152,0.0017531
0.01,4.405e-05,0,1.4013,0.013216,0,-0.039059,0.59928,2.6434,0,0.045253,0.0017605
0.011,5.8631e-05,0,1.4012,0.015991,0,-0.038521,0.60202,2.9078,0,1.0321,0.0017685
0.012,7.612e-05,0,1.4012,0.019031,0,-0.036995,0.60495,3.1722,0,2.019,0.0017771
0.013,9.6782e-05,0,1.4012,0.022336,0,-0.034483,0.6081,3.4367,0,3.0059,0.0017864
0.014,0.00012088,0,1.4011,0.025904,0,-0.030984,0.61147,3.7011,0,3.9929,0.0017963
0.015,0.00014868,0,1.4011,0.029738,0,-0.026498,0.61508,3.9656,0,4.9799,0.0018069
0.016,0.00018044,0,1.4011,0.033836,0,-0.021024,0.61896,4.2301,0,5.967,0.0018183
0.017,0.00021644,0,1.4011,0.038198,0,-0.014564,0.62314,4.4946,0,6.9542,0.0018306
0.018,0.00025693,0,1.401,0.042825,0,-0.0071161,0.62763,4.7591,0,7.9414,0.0018438
0.019,0.00030218,0,1.401,0.047716,0,0.0013188,0.63248,5.0237,0,8.9287,0.001858
0.02,0.00035245,0,1.401,0.052872,0,0.010741,0.63773,5.2882,0,9.916,0.0018734
0.021,0.00040801,0,1.4011,0.058293,0,0.021151,0.64341,5.5528,0,10.903,0.0018901
0.022,0.00046912,0,1.4011,0.063978,0,0.032548,0.64956,5.8174,0,11.891,0.0019082
0.023,0.00053605,0,1.4011,0.069928,0,0.044932,0.65624,6.082,0,12.878,0.0019278
0.024,0.00060907,0,1.4012,0.076142,0,0.058304,0.66348,6.3466,0,13.866,0.0019491
0.025,0.00068843,0,1.4012,0.082621,0,0.072664,0.67134,6.6112,0,14.854,0.0019722
0.026,0.0007744,0,1.4013,0.089364,0,0.088011,0.67987,6.8759,0,15.841,0.0019972
0.027,0.00086724,0,1.4014,0.096373,0,0.10435,0.68911,7.1405,0,16.829,0.0020244
0.028,0.00096723,0,1.4015,0.10365,0,0.12167,0.69912,7.4052,0,17.817,0.0020538
0.029,0.0010746,0,1.4017,0.11118,0,0.13998,0.70994,7.6699,0,18.805,0.0020856
0.03,0.0011897,0,1.4018,0.11899,0,0.15928,0.72162,7.9346,0,19.792,0.0021199
0.031,0.0013127,0,1.402,0.12705,0,0.17956,0.7342,8.1993,0,20.78,0.0021568
0.032,0.0014439,0,1.4022,0.13538,0,0.20084,0.74773,8.4641,0,21.768,0.0021966
0.033,0.0015835,0,1.4024,0.14398,0,0.2231,0.76225,8.7288,0,22.756,0.0022392
0.034,0.0017319,0,1.4026,0.15284,0,0.24635,0.7778,8.9936,0,23.745,0.0022849
0.035,0.0018893,0,1.4029,0.16197,0,0.27059,0.79442,9.2584,0,24.733,0.0023337
0.036,0.0020559,0,1.4032,0.17136,0,0.29582,0.81212,9.5231,0,25.721,0.0023857
0.037,0.0022321,0,1.4035,0.18101,0,0.32203,0.83096,9.788,0,26.709,0.0024411
0.038,0.0024181,0,1.4038,0.19093,0,0.34923,0.85094,10.053,0,27.698,0.0024998
0.039,0.0026141,0,1.4042,0.20112,0,0.37743,0.8721,10.318,0,28.686,0.0025619
0.04,0.0028204,0,1.4046,0.21157,0,0.40661,0.89445,10.582,0,29.674,0.0026276
0.041,0.0030373,0,1.405,0.22228,0,0.43677,0.91801,10.847,0,30.663,0.0026968
0.042,0.003265,0,1.4054,0.23326,0,0.46793,0.9428,11.112,0,31.651,0.0027696
0.043,0.0035039,0,1.4059,0.24451,0,0.50008,0.96881,11.377,0,32.64,0.002846
0.044,0.0037542,0,1.4064,0.25602,0,0.53321,0.99607,11.642,0,33.629,0.0029261
0.045,0.004016,0,1.407,0.26779,0,0.56733,1.0246,11.907,0,34.617,0.0030099
0.046,0.0042898,0,1.4076,0.27983,0,0.60245,1.0543,12.172,0,35.606,0.0030973
0.047,0.0045758,0,1.4082,0.29214,0,0.63855,1.0854,12.437,0,36.595,0.0031884
0.048,0.0048742,0,1.4088,0.30471,0,0.67564,1.1176,12.702,0,37.584,0.0032832
0.049,0.0051853,0,1.4095,0.31754,0,0.71371,1.1511,12.967,0,38.573,0.0033817
0.05,0.0055094,0,1.4103,0.33064,0,0.75278,1.1859,13.232,0,39.562,0.0034838
0.051,0.0058467,0,1.411,0.344,0,0.79284,1.2219,13.497,0,40.551,0.0035896
0.052,0.0061975,0,1.4119,0.35763,0,0.83388,1.2592,13.762,0,41.54,0.0036991
0.053,0.006562,0,1.4127,0.37153,0,0.87592,1.2977,14.027,0,42.529,0.0038122
0.054,0.0069406,0,1.4136,0.38569,0,0.91894,1.3375,14.292,0,43.518,0.003929
0.055,0.0073335,0,1.4146,0.40011,0,0.96295,1.3784,14.557,0,44.508,0.0040493
0.056,0.0077409,0,1.4155,0.4148,0,1.008,1.4206,14.822,0,45.497,0.0041733
0.057,0.0081632,0,1.4166,0.42976,0,1.0539,1.464,15.087,0,46.486,0.0043008
0.058,0.0086005,0,1.4176,0.44498,0,1.1009,1.5087,15.352,0,47.476,0.0044319
0.059,0.0090532,0,1.4188,0.46046,0,1.1489,1.5545,15.617,0,48.465,0.0045665
0.06,0.0095215,0,1.4199,0.47621,0,1.1979,1.6015,15.883,0,49.455,0.0047046
0.061,0.010006,0,1.4212,0.49223,0,1.2478,1.6497,16.148,0,50.444,0.0048463
0.062,0.010506,0,1.4224,0.50851,0,1.2987,1.6991,16.413,0,51.434,0.0049914
0.063,0.011023,0,1.4238,0.52505,0,1.3507,1.7497,16.678,0,52.424,0.00514
0.064,0.011556,0,1.4251,0.54186,0,1.4036,1.8014,16.943,0,53.414,0.005292
0.065,0.012107,0,1.4266,0.55894,0,1.4575,1.8544,17.209,0,54.403,0.0054474
0.066,0.012674,0,1.4281,0.57628,0,1.5124,1.9084,17.474,0,55.393,0.0056063
0.067,0.013259,0,1.4296,0.59389,0,1.5683,1.9637,17.739,0,56.383,0.0057685
0.068,0.013862,0,1.4312,0.61176,0,1.6252,2.02,18.004,0,57.373,0.0059342
