Run ID,At [m^2],Dfg_Outer [m],Dfg_Inner [m],Lfg [m],ISP [s^-1],Delta-V [m/s],Apogee [m],O/F Ratio Max
1,0.001,0.135,0.04,0.5,250.28,297.43,5232.3,3.3437
9,0.001,0.135,0.045,0.5,250.48,290.97,5009,3.3873
17,0.001,0.135,0.05,0.5,250.67,283.47,4755.4,3.4268
25,0.001,0.135,0.055,0.5,250.84,275,4476.7,3.4629
33,0.001,0.135,0.06,0.5,251.01,265.43,4172.3,3.4962
41,0.001,0.135,0.065,0.5,251.17,254.79,3846,3.5271
49,0.001,0.135,0.07,0.5,251.32,243.15,3504.1,3.556
57,0.001,0.135,0.075,0.5,251.46,230.45,3149.2,3.583
65,0.001,0.135,0.08,0.5,251.59,216.72,2786.6,3.6086
66,0.001,0.135,0.08,0.6,242.77,218.58,2831.5,3.0071
73,0.001,0.137,0.04,0.5,250.32,307.97,5607.9,3.3437
81,0.001,0.137,0.045,0.5,250.51,301.49,5375.8,3.3873
89,0.001,0.137,0.05,0.5,250.7,294.03,5114.4,3.4268
97,0.001,0.137,0.055,0.5,250.87,285.46,4822.2,3.4629
105,0.001,0.137,0.06,0.5,251.04,275.93,4507.1,3.4962
113,0.001,0.137,0.065,0.5,251.2,265.31,4168.7,3.5271
121,0.001,0.137,0.07,0.5,251.34,253.63,3811.3,3.556
129,0.001,0.137,0.075,0.5,251.48,240.95,3441.5,3.583
137,0.001,0.137,0.08,0.5,251.61,227.17,3060.8,3.6086
138,0.001,0.137,0.08,0.6,242.81,229.09,3109.1,3.0071
145,0.001,0.139,0.04,0.5,250.35,318.67,6002.3,3.3437
153,0.001,0.139,0.045,0.5,250.55,312.17,5761.3,3.3873
161,0.001,0.139,0.05,0.5,250.73,304.68,5489.7,3.4268
169,0.001,0.139,0.055,0.5,250.9,296.21,5190.4,3.4629
177,0.001,0.139,0.06,0.5,251.07,286.64,4862.2,3.4962
185,0.001,0.139,0.065,0.5,251.22,275.99,4509.4,3.5271
193,0.001,0.139,0.07,0.5,251.37,264.32,4138.1,3.556
201,0.001,0.139,0.075,0.5,251.5,251.6,3751.2,3.583
209,0.001,0.139,0.08,0.5,251.63,237.84,3353.8,3.6086
210,0.001,0.139,0.08,0.6,242.86,239.81,3405.8,3.0071
217,0.001,0.141,0.04,0.5,250.39,329.59,6418.6,3.3437
225,0.001,0.141,0.045,0.5,250.58,323.13,6171,3.3873
233,0.001,0.141,0.05,0.5,250.76,315.61,5888.9,3.4268
241,0.001,0.141,0.055,0.5,250.93,307.11,5577.7,3.4629
249,0.001,0.141,0.06,0.5,251.09,297.51,5236.2,3.4962
257,0.001,0.141,0.065,0.5,251.25,286.88,4870.7,3.5271
265,0.001,0.141,0.07,0.5,251.39,275.18,4483.4,3.556
273,0.001,0.141,0.075,0.5,251.52,262.48,4081,3.583
281,0.001,0.141,0.08,0.5,251.65,248.66,3664.7,3.6086
282,0.001,0.141,0.08,0.6,242.9,250.75,3722.3,3.0071
289,0.001,0.143,0.04,0.5,250.43,340.68,6855.2,3.3437
297,0.001,0.143,0.045,0.5,250.61,334.19,6598.3,3.3873
305,0.001,0.143,0.05,0.5,250.79,326.71,6308,3.4268
313,0.001,0.143,0.055,0.5,250.96,318.18,5984.7,3.4629
321,0.001,0.143,0.06,0.5,251.12,308.6,5632,3.4962
329,0.001,0.143,0.065,0.5,251.27,297.94,5251.5,3.5271
337,0.001,0.143,0.07,0.5,251.41,286.26,4849.9,3.556
345,0.001,0.143,0.075,0.5,251.54,273.51,4429.6,3.583
353,0.001,0.143,0.08,0.5,251.67,259.71,3995.9,3.6086
354,0.001,0.143,0.08,0.6,242.94,261.85,4057.6,3.0071
361,0.001,0.145,0.04,0.5,250.47,352.06,7318.1,3.3437
369,0.001,0.145,0.045,0.5,250.65,345.55,7051.7,3.3873
377,0.001,0.145,0.05,0.5,250.82,338.04,6750.4,3.4268
385,0.001,0.145,0.055,0.5,250.99,329.54,6417.3,3.4629
393,0.001,0.145,0.06,0.5,251.14,319.93,6050.6,3.4962
401,0.001,0.145,0.065,0.5,251.29,309.28,5657,3.5271
409,0.001,0.145,0.07,0.5,251.43,297.56,5238.4,3.556
417,0.001,0.145,0.075,0.5,251.56,284.76,4799.9,3.583
425,0.001,0.145,0.08,0.5,251.69,270.97,4348.5,3.6086
426,0.001,0.145,0.08,0.6,242.98,273.17,4414.4,3.0071
433,0.001,0.147,0.04,0.5,250.5,363.53,7800.1,3.3437
441,0.001,0.147,0.045,0.5,250.68,357.06,7526.9,3.3873
449,0.001,0.147,0.05,0.5,250.85,349.59,7217.1,3.4268
457,0.001,0.147,0.055,0.5,251.01,341.06,6871.3,3.4629
465,0.001,0.147,0.06,0.5,251.17,331.41,6490.4,3.4962
473,0.001,0.147,0.065,0.5,251.32,320.79,6083.6,3.5271
481,0.001,0.147,0.07,0.5,251.45,309.02,5647.8,3.556
489,0.001,0.147,0.075,0.5,251.58,296.24,5192.7,3.583
497,0.001,0.147,0.08,0.5,251.7,282.4,4721.3,3.6086
498,0.001,0.147,0.08,0.6,243.02,284.71,4793.5,3.0071
505,0.001,0.149,0.04,0.5,250.54,375.31,8310.6,3.3437
